Model,Setup,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,No SMOTE,0.9099078341013825,0.09043250327653997,0.4394904458598726,0.15,0.8394766951321677
Random Forest,No SMOTE,0.9221198156682028,0.06965174129353234,0.267515923566879,0.11052631578947368,0.7578597739649402
Gradient Boosting,No SMOTE,0.9548387096774194,0.10963455149501661,0.21019108280254778,0.14410480349344978,0.837242201880113
SVM,No SMOTE,0.7377880184331798,0.053894736842105266,0.8152866242038217,0.10110584518167456,
Logistic Regression,SMOTE,0.7473502304147466,0.05468066491688539,0.7961783439490446,0.10233319688907082,0.8405999203354579
Random Forest,SMOTE,0.9557603686635945,0.054901960784313725,0.08917197452229299,0.06796116504854369,0.792800447795437
Gradient Boosting,SMOTE,0.8648617511520738,0.059027777777777776,0.43312101910828027,0.1038961038961039,0.8018490244830212
SVM,SMOTE,0.7394009216589862,0.05307855626326964,0.7961783439490446,0.09952229299363058,
